name,price(USD),rating,image,price(NGN)
Apple iPhone 11 - 64GB 128GB 256GB - All Colors - Good Condition,200.0,98.9,https://i.ebayimg.com/thumbs/images/g/4f8AAOSw0IVidaHD/s-l140.jpg,297600
Apple iPhone 13 - 128GB 256GB 512GB - All Colors - Good Condition,309.0,98.9,https://i.ebayimg.com/thumbs/images/g/rqsAAOSwLwZiar2B/s-l140.jpg,459792
"Apple iPhone 12 5G 128GB 6.1""Factory Unlocked Smartphone Good",274.99,100,https://i.ebayimg.com/thumbs/images/g/sQcAAOSwWqVk59vM/s-l140.jpg,409185
Apple iPhone 14 A2649 Verizon Only 128GB Blue Good,369.99,97.8,https://i.ebayimg.com/thumbs/images/g/eOsAAOSwlM5mb5Pj/s-l140.jpg,550545
Apple iPhone 12 Pro 128GB Unlocked Smartphone - Very Good,373.95,98.6,https://i.ebayimg.com/thumbs/images/g/U4MAAOSwS99hCDnD/s-l140.jpg,556438
Apple iPhone 12 Black 128GB A2172 MGF93LL/A Verizon Clean ESN Good (JF),249.95,99.2,https://i.ebayimg.com/thumbs/images/g/~UYAAOSw1UBi4Cj1/s-l140.jpg,371926
"New ListingApple iPhone 11 64 GB Model A2111 Product Red (Broken Screen, See Description)",82.0,100,https://i.ebayimg.com/thumbs/images/g/-AkAAOSw8QpmfckG/s-l140.jpg,122016
Apple iPhone 12 128GB (GSM+CDMA) Fully Unlocked (5G) - Blue,318.95,99.9,https://i.ebayimg.com/thumbs/images/g/LFYAAOSwzWZj7k8I/s-l140.jpg,474598
New ListingApple iPhone 12 64GB White A2172 AT&T 5G  MGH73LL/A Excellent Condition,175.0,100,https://i.ebayimg.com/thumbs/images/g/-M8AAOSw5NBmff9Y/s-l140.jpg,260400
Apple A1865 iPhone X SPACE GRAY 256GB EMPTY BOX,19.99,100,https://i.ebayimg.com/thumbs/images/g/xjMAAOSwX-tmaJ4s/s-l140.jpg,29745
"Apple iPhone 12 128GB A2172 6.1"" Color Blue Repair Or Parts # Control 138",81.0,97.1,https://i.ebayimg.com/thumbs/images/g/pooAAOSwQ1lmeFLi/s-l140.jpg,120528
Apple iPhone XS Fully Unlocked (Any Carrier) Smartphone 64GB 256GB 512GB,209.99,96.5,https://i.ebayimg.com/thumbs/images/g/Xt8AAOSwK9heHW9-/s-l140.jpg,312465
"Apple iPhone 12 128GB A2172 6.1"" Color Red Repair Or Parts # Control 137",46.0,97.1,https://i.ebayimg.com/thumbs/images/g/QtoAAOSwcktmeE7N/s-l140.jpg,68448
Apple iPhone 15 Plus - 128 GB - Pink (Spectrum) (Single SIM),213.0,90,https://i.ebayimg.com/thumbs/images/g/hj4AAOSw4dZmfKeT/s-l140.jpg,316944
New ListingApple iPhone 13 128GB Pink Unlocked (GSM + CDMA) Smartphone (READ DESCRIPTION),202.5,98.7,https://i.ebayimg.com/thumbs/images/g/XdEAAOSw6yxmBwtF/s-l140.jpg,301320
Apple iPhone 12 - Broken Not Tested Selling As Is Don't Know What Size Gb,21.31,100,https://i.ebayimg.com/thumbs/images/g/VHwAAOSwrNdmQcKE/s-l140.jpg,31709
Apple iPhone 15 Pro Max 256GB Black Titanium Verizon BRAND NEW UNUSED!,897.0,98.7,https://i.ebayimg.com/thumbs/images/g/NHcAAOSwbXpmeplt/s-l140.jpg,1334736
"*ALL WITH ISSUES* LOT OF 3X APPLE IPHONE XR CELL PHONE SMART IOS WIFI LTE 6.1""",87.22,99.4,https://i.ebayimg.com/thumbs/images/g/3hsAAOSwhGllQzs2/s-l140.jpg,129783
iPhone 14 128GB - Midnight | locked to AT&T | New In Box,499.99,100,https://i.ebayimg.com/thumbs/images/g/pYwAAOSwiDtmbMjm/s-l140.jpg,743985
"Apple iPhone 12 128GB A2172 6.1"" Color Blu3 Repair Or Parts # Control 141",51.0,97.1,https://i.ebayimg.com/thumbs/images/g/f~gAAOSwA9lmec~f/s-l140.jpg,75888
Apple iPhone 8 64GB Space Gray GSM (AT&T H2O Cricket) A1905 NEW OTHER SEALED BOX,114.88,98.9,https://i.ebayimg.com/thumbs/images/g/SBwAAOSwa8NdXIuL/s-l140.jpg,170941
Apple iPhone 12 Pro 128GB Unlocked - Very Good,359.99,98.1,https://i.ebayimg.com/thumbs/images/g/ttgAAOSwgqRlTVtF/s-l140.jpg,535665
2 X Apple iPhone 12  - Sold As It Is/Parts - Not Tested - AU,100.64,98.9,https://i.ebayimg.com/thumbs/images/g/fxsAAOSw6pVkx8vl/s-l140.jpg,149752
Apple iPhone 8 Factory Unlocked 64GB 128GB 256GB AT&T T-mobile Verizon,113.99,97.9,https://i.ebayimg.com/thumbs/images/g/4IMAAOSwerRbkDmK/s-l140.jpg,169617
Apple iPhone 12 Mini 128GB Unlocked Smartphone - Very Good,244.95,98.6,https://i.ebayimg.com/thumbs/images/g/amoAAOSwi6Fgwl8N/s-l140.jpg,364486
Apple iPhone XS 64GB Unlocked Smartphone - Excellent,178.95,98.6,https://i.ebayimg.com/thumbs/images/g/8bwAAOSwcuZdI5Ah/s-l140.jpg,266278
Apple iPhone X - 64GB | 256GB - Unlocked AT&T Verizon T-Mobile Metro - Excellent,184.95,99.4,https://i.ebayimg.com/thumbs/images/g/fBwAAOSwiINl8y2X/s-l140.jpg,275206
